AbsHour,Day,Positions,AssignedNurses,Week,HourOfDay,HourOfWeek
2,1,CNL,1,1,2,2
2,1,EDOU,2,1,2,2
2,1,FEP,1,1,2,2
2,1,blue,4,1,2,2
2,1,first nurse,1,1,2,2
2,1,green,4,1,2,2
2,1,hallway,2,1,2,2
2,1,iTrack,0,1,2,2
2,1,orange,5,1,2,2
2,1,purple,3,1,2,2
2,1,red,0,1,2,2
2,1,resource nurse,1,1,2,2
2,1,triage nurse,1,1,2,2
3,1,CNL,1,1,3,3
3,1,EDOU,2,1,3,3
3,1,FEP,1,1,3,3
3,1,blue,4,1,3,3
3,1,first nurse,1,1,3,3
3,1,green,4,1,3,3
3,1,hallway,2,1,3,3
3,1,iTrack,0,1,3,3
3,1,orange,5,1,3,3
3,1,purple,3,1,3,3
3,1,red,0,1,3,3
3,1,resource nurse,1,1,3,3
3,1,triage nurse,1,1,3,3
4,1,CNL,1,1,4,4
4,1,EDOU,2,1,4,4
4,1,FEP,1,1,4,4
4,1,blue,4,1,4,4
4,1,first nurse,1,1,4,4
4,1,green,4,1,4,4
4,1,hallway,2,1,4,4
4,1,iTrack,0,1,4,4
4,1,orange,5,1,4,4
4,1,purple,3,1,4,4
4,1,red,0,1,4,4
4,1,resource nurse,1,1,4,4
4,1,triage nurse,1,1,4,4
5,1,CNL,1,1,5,5
5,1,EDOU,2,1,5,5
5,1,FEP,1,1,5,5
5,1,blue,4,1,5,5
5,1,first nurse,1,1,5,5
5,1,green,4,1,5,5
5,1,hallway,2,1,5,5
5,1,iTrack,0,1,5,5
5,1,orange,5,1,5,5
5,1,purple,3,1,5,5
5,1,red,0,1,5,5
5,1,resource nurse,1,1,5,5
5,1,triage nurse,1,1,5,5
6,1,CNL,1,1,6,6
6,1,EDOU,2,1,6,6
6,1,FEP,1,1,6,6
6,1,blue,4,1,6,6
6,1,first nurse,1,1,6,6
6,1,green,4,1,6,6
6,1,hallway,2,1,6,6
6,1,iTrack,0,1,6,6
6,1,orange,5,1,6,6
6,1,purple,3,1,6,6
6,1,red,0,1,6,6
6,1,resource nurse,1,1,6,6
6,1,triage nurse,1,1,6,6
7,1,CNL,1,1,7,7
7,1,EDOU,2,1,7,7
7,1,FEP,1,1,7,7
7,1,blue,4,1,7,7
7,1,first nurse,1,1,7,7
7,1,green,4,1,7,7
7,1,hallway,2,1,7,7
7,1,iTrack,0,1,7,7
7,1,orange,5,1,7,7
7,1,purple,3,1,7,7
7,1,red,0,1,7,7
7,1,resource nurse,1,1,7,7
7,1,triage nurse,1,1,7,7
8,1,CNL,1,1,8,8
8,1,EDOU,2,1,8,8
8,1,FEP,1,1,8,8
8,1,blue,4,1,8,8
8,1,first nurse,1,1,8,8
8,1,green,4,1,8,8
8,1,hallway,2,1,8,8
8,1,iTrack,0,1,8,8
8,1,orange,5,1,8,8
8,1,purple,3,1,8,8
8,1,red,0,1,8,8
8,1,resource nurse,1,1,8,8
8,1,triage nurse,1,1,8,8
9,1,CNL,1,1,9,9
9,1,EDOU,2,1,9,9
9,1,FEP,1,1,9,9
9,1,blue,4,1,9,9
9,1,first nurse,1,1,9,9
9,1,green,4,1,9,9
9,1,hallway,2,1,9,9
9,1,iTrack,0,1,9,9
9,1,orange,5,1,9,9
9,1,purple,3,1,9,9
9,1,red,0,1,9,9
9,1,resource nurse,1,1,9,9
9,1,triage nurse,1,1,9,9
10,1,CNL,1,1,10,10
10,1,EDOU,2,1,10,10
10,1,FEP,1,1,10,10
