"Tier","WeekendG","Positions","ShiftT","Day","Roster"
1,1,"CNL",1,1,0
1,1,"CNL",1,2,0
1,1,"CNL",1,3,0
1,1,"CNL",1,4,0
1,1,"CNL",1,5,0
1,1,"CNL",1,6,0
1,1,"CNL",1,7,0
1,1,"CNL",1,8,0
1,1,"CNL",1,9,0
1,1,"CNL",1,10,0
1,1,"CNL",1,11,0
1,1,"CNL",1,12,0
1,1,"CNL",1,13,0
1,1,"CNL",1,14,0
1,1,"CNL",1,15,0
1,1,"CNL",1,16,0
1,1,"CNL",1,17,0
1,1,"CNL",1,18,0
1,1,"CNL",1,19,0
1,1,"CNL",1,20,0
1,1,"CNL",1,21,0
1,1,"CNL",1,22,0
1,1,"CNL",1,23,0
1,1,"CNL",1,24,0
1,1,"CNL",1,25,0
1,1,"CNL",1,26,0
1,1,"CNL",1,27,0
1,1,"CNL",1,28,0
1,1,"CNL",1,29,0
1,1,"CNL",1,30,0
1,1,"CNL",1,31,0
1,1,"CNL",1,32,0
1,1,"CNL",1,33,0
1,1,"CNL",1,34,0
1,1,"CNL",1,35,0
1,1,"CNL",1,36,0
1,1,"CNL",1,37,0
1,1,"CNL",1,38,0
1,1,"CNL",1,39,0
1,1,"CNL",1,40,0
1,1,"CNL",1,41,0
1,1,"CNL",1,42,0
1,1,"CNL",2,1,0
1,1,"CNL",2,2,0
1,1,"CNL",2,3,0
1,1,"CNL",2,4,0
1,1,"CNL",2,5,0
1,1,"CNL",2,6,0
1,1,"CNL",2,7,0
1,1,"CNL",2,8,0
1,1,"CNL",2,9,0
1,1,"CNL",2,10,0
1,1,"CNL",2,11,0
1,1,"CNL",2,12,0
1,1,"CNL",2,13,0
1,1,"CNL",2,14,0
1,1,"CNL",2,15,0
1,1,"CNL",2,16,0
1,1,"CNL",2,17,0
1,1,"CNL",2,18,0
1,1,"CNL",2,19,0
1,1,"CNL",2,20,0
1,1,"CNL",2,21,0
1,1,"CNL",2,22,0
1,1,"CNL",2,23,0
1,1,"CNL",2,24,0
1,1,"CNL",2,25,0
1,1,"CNL",2,26,0
1,1,"CNL",2,27,0
1,1,"CNL",2,28,0
1,1,"CNL",2,29,0
1,1,"CNL",2,30,0
1,1,"CNL",2,31,0
1,1,"CNL",2,32,0
1,1,"CNL",2,33,0
1,1,"CNL",2,34,0
1,1,"CNL",2,35,0
1,1,"CNL",2,36,0
