Absolute Hour,Week,Hour (Day),Hour (Week),Nurses Red Pod,Nurses Purple,Nurses iTrack,Nurses Blue Pod,Nurses Green Pod,Nurses Orange Pod,Nurses Hallway,Nurses EDOU,Nurses Floating
1,1,1,1,1,3,1,2,3,3,3,1,13
2,1,2,2,0,3,1,2,3,3,3,1,12
3,1,3,3,1,3,2,2,2,3,2,2,12
4,1,4,4,2,3,2,2,1,2,3,1,12
5,1,5,5,0,3,1,3,2,2,2,1,10
6,1,6,6,2,3,1,3,3,2,2,2,13
7,1,7,7,2,2,1,2,3,2,3,1,13
8,1,8,8,2,2,1,2,2,3,2,2,12
9,1,9,9,2,3,1,3,2,5,2,1,15
10,1,10,10,1,3,2,3,3,3,2,2,14
11,1,11,11,0,2,1,3,4,3,4,1,15
12,1,12,12,2,3,2,3,3,3,4,2,17
13,1,13,13,2,2,2,2,3,3,3,1,15
14,1,14,14,2,1,2,3,4,3,3,1,17
15,1,15,15,2,3,2,4,3,3,3,1,17
16,1,16,16,2,2,1,4,3,4,3,2,17
17,1,17,17,2,3,2,3,5,2,3,1,17
18,1,18,18,2,3,2,2,4,3,5,2,18
19,1,19,19,1,2,2,4,4,3,2,1,16
20,1,20,20,2,2,2,3,2,3,4,1,16
21,1,21,21,2,2,1,3,3,4,3,1,16
22,1,22,22,2,3,1,4,3,3,2,2,15
23,1,23,23,2,2,1,3,3,3,4,2,16
24,1,24,24,1,2,1,2,2,3,3,1,12
25,1,1,25,1,2,1,3,2,3,2,1,12
26,1,2,26,2,3,2,2,2,2,2,2,12
27,1,3,27,1,3,1,3,3,2,3,1,13
28,1,4,28,1,3,1,3,2,3,2,1,12
29,1,5,29,1,2,1,3,2,1,3,1,11
30,1,6,30,0,3,1,2,2,2,2,1,9
31,1,7,31,1,2,1,2,3,2,3,1,12
32,1,8,32,1,3,1,2,3,3,2,2,12
33,1,9,33,2,3,1,3,2,2,4,1,14
34,1,10,34,2,3,2,3,4,3,2,1,16
35,1,11,35,2,2,1,3,3,4,4,1,17
36,1,12,36,2,2,2,3,3,2,3,2,15
37,1,13,37,1,3,2,4,5,2,3,2,17
38,1,14,38,1,3,2,2,5,3,4,2,17
39,1,15,39,2,3,1,4,4,4,3,1,18
40,1,16,40,2,3,2,3,4,3,5,1,19
41,1,17,41,2,2,1,4,5,2,2,1,16
42,1,18,42,2,3,1,5,3,3,3,1,17
43,1,19,43,2,2,2,3,4,4,3,2,18
44,1,20,44,1,2,2,4,3,4,3,2,17
45,1,21,45,2,3,1,2,3,4,3,1,15
46,1,22,46,2,3,1,4,3,2,2,1,14
47,1,23,47,2,3,1,3,3,2,3,1,14
48,1,24,48,2,2,1,2,2,2,4,1,13
49,1,1,49,1,2,1,2,3,3,2,1,12
