Absolute Hour,Week,Hour (Day),Hour (Week),Floating,Purple,EDOU,Red Pod,Blue Pod,Green Pod,Orange Pod,iTrack,Hallway
1,1,1,1,51,14,1,1,12,11,14,4,9
2,1,2,2,55,20,6,1,15,7,10,11,11
3,1,3,3,53,12,4,4,11,9,12,5,12
4,1,4,4,44,14,7,3,5,5,8,7,16
5,1,5,5,45,9,4,1,10,14,3,9,8
6,1,6,6,46,19,7,1,6,6,13,6,14
7,1,7,7,59,17,3,1,7,16,11,9,15
8,1,8,8,57,17,9,3,13,9,9,14,9
9,1,9,9,60,13,5,1,18,13,14,6,8
10,1,10,10,66,16,7,4,13,14,12,9,14
11,1,11,11,66,18,6,3,12,13,12,18,8
12,1,12,12,72,13,5,0,10,13,17,17,15
13,1,13,13,72,20,3,4,18,14,10,14,12
14,1,14,14,80,14,0,2,16,20,16,11,15
15,1,15,15,77,12,4,1,14,17,17,13,15
16,1,16,16,81,18,3,4,13,17,10,22,15
17,1,17,17,83,15,4,4,20,19,20,11,9
18,1,18,18,78,15,6,3,15,21,12,12,15
19,1,19,19,78,17,3,3,17,12,14,12,20
20,1,20,20,69,17,5,1,14,15,10,13,16
21,1,21,21,65,12,6,4,7,11,16,11,16
22,1,22,22,65,15,5,4,13,7,18,9,14
23,1,23,23,60,16,4,0,13,17,9,10,11
24,1,24,24,53,16,7,1,13,9,11,13,6
25,1,1,25,52,20,4,0,9,10,11,11,11
26,1,2,26,55,13,5,4,7,16,9,6,13
27,1,3,27,47,13,5,2,5,11,10,12,7
28,1,4,28,49,11,6,1,5,12,10,15,6
29,1,5,29,48,17,5,4,14,8,11,5,6
30,1,6,30,52,12,5,3,11,13,8,6,11
31,1,7,31,55,13,2,1,14,14,8,9,9
32,1,8,32,59,11,4,1,11,14,6,16,11
33,1,9,33,62,11,9,0,18,13,11,10,10
34,1,10,34,67,15,5,0,11,9,19,15,13
35,1,11,35,70,17,4,3,13,15,9,14,16
36,1,12,36,73,10,6,4,13,9,17,16,14
37,1,13,37,74,16,6,4,16,15,8,14,17
38,1,14,38,69,15,6,1,12,15,16,13,12
39,1,15,39,78,12,8,4,15,10,18,15,16
40,1,16,40,78,13,4,1,19,9,23,16,10
41,1,17,41,77,14,5,3,11,19,20,11,13
42,1,18,42,73,12,5,3,11,12,17,13,17
43,1,19,43,78,9,5,4,12,15,11,14,22
44,1,20,44,67,18,6,4,9,12,16,10,16
45,1,21,45,70,19,1,4,6,13,14,13,20
46,1,22,46,64,13,4,4,11,10,14,11,14
47,1,23,47,62,17,7,4,10,11,17,8,12
48,1,24,48,59,17,4,2,12,13,9,11,12
49,1,1,49,60,15,3,1,11,11,14,13,10
50,1,2,50,55,11,4,1,12,9,9,13,11
51,1,3,51,53,14,6,1,14,8,10,12,8
52,1,4,52,53,13,3,1,13,9,9,9,12
53,1,5,53,50,14,3,2,8,9,11,10,10
54,1,6,54,51,12,4,3,14,10,5,11,8
55,1,7,55,52,19,2,0,16,7,9,8,12
56,1,8,56,58,13,8,4,10,11,15,9,9
57,1,9,57,64,14,4,1,16,9,11,16,11
58,1,10,58,64,12,7,4,12,11,16,9,12
59,1,11,59,69,11,6,4,12,9,12,18,14
60,1,12,60,70,16,3,3,18,10,17,10,12
61,1,13,61,80,14,5,3,8,16,18,16,19
62,1,14,62,78,20,2,4,13,15,16,17,13
63,1,15,63,81,7,7,1,15,18,15,14,18
64,1,16,64,79,20,6,1,16,13,16,17,16
65,1,17,65,81,11,4,4,19,14,16,17,11
66,1,18,66,72,14,3,4,13,14,9,14,18
67,1,19,67,76,11,8,1,19,14,14,12,16
68,1,20,68,70,17,2,3,16,10,14,16,11
69,1,21,69,72,14,4,3,17,6,19,10,17
70,1,22,70,67,14,6,4,13,12,14,11,13
71,1,23,71,60,12,6,4,9,13,8,15,11
72,1,24,72,55,16,3,1,9,9,10,15,11
73,1,1,73,51,18,7,2,13,10,8,11,7
74,1,2,74,53,13,6,0,11,13,11,12,6
75,1,3,75,47,18,5,1,13,8,8,7,10
76,1,4,76,54,16,6,2,10,6,11,15,10
77,1,5,77,46,14,6,1,10,11,7,7,10
78,1,6,78,49,13,2,1,13,10,5,9,11
79,1,7,79,51,7,5,2,7,11,11,8,12
80,1,8,80,52,17,4,1,10,12,8,12,9
81,1,9,81,62,13,2,2,10,10,9,19,12
82,1,10,82,62,17,4,4,9,8,15,12,14
83,1,11,83,72,13,4,4,12,12,19,13,12
84,1,12,84,72,17,6,2,13,11,12,16,18
85,1,13,85,70,19,5,1,11,14,13,17,14
86,1,14,86,75,14,1,1,20,12,17,11,14
